Id,category,adress,postcode,city,borough,neighbourhood,suburb,town,village,hamlet,road,road_reference
589911,road,"Carretera La Roda - El Monte - Castrovaselle, 33747 Tapia de Casariego, Spain",33747,,,,,,Tapia de Casariego,Castrobaselle,Carretera La Roda - El Monte - Castrovaselle,TC-5
589914,road,"unnamed road, 33150 Cudillero, Spain",33150,Cudillero,,,,,Cudillero,Villamar,unnamed road,
601422,road,"Camín de Casares a Arroyo, 33392 Gijón, Spain",33392,Gijón,,,,,,Casares,Camín de Casares a Arroyo,
603348,building,"Calle Pilar, 13, 33210 Gijón, Spain",33210,Gijón,Distrito Llano,,,,,,Calle Pilar,
604097,building,"Calle Marqués de Casa Valdés, 29, 33202 Gijón, Spain",33202,Gijón,Distrito Centro,,Centro,,,,Calle Marqués de Casa Valdés,
604121,road,"unnamed road, 33310 Villaviciosa, Spain",33310,,,,,Villaviciosa,,La Infiesta,unnamed road,
604302,road,"unnamed road, 33314 Villaviciosa, Spain",33314,,,,,Villaviciosa,,,unnamed road,
604307,road,"unnamed road, 33314 Villaviciosa, Spain",33314,,,,,Villaviciosa,,,unnamed road,
604383,road,"Calle la Terraza, Valverde de la Virgen, Spain",,,,,,,Valverde de la Virgen,San Miguel del Camino,Calle la Terraza,
610005,commerce,"El Manzanu, Calle Álvaro Florez Estrada, 33006 Oviedo, Spain",33006,Oviedo,,,Buenavista,,,,Calle Álvaro Florez Estrada,
615528,road,"Calle la Carreta, Valdevimbre, Spain",,,,,,,Valdevimbre,,Calle la Carreta,
627491,building,"Carretera de La Puerta a Las Campas, 5, 33867 Salas, Spain",33867,,,Los Pravianos,,Salas,,La Estrada,Carretera de La Puerta a Las Campas,
627497,road,"Autovía Ruta de la Plata, 33615 Mieres, Spain",33615,Mieres,,La Pedrera,,,Mieres,El Quemaeru,Autovía Ruta de la Plata,
627498,road,"Autovía Ruta de la Plata, 33615 Mieres, Spain",33615,Mieres,,La Pedrera,,,Mieres,El Quemaeru,Autovía Ruta de la Plata,
630924,road,"unnamed road, 33980 Laviana, Spain",33980,Laviana,,,,Pola de Laviana,,,unnamed road,
633051,road,"unnamed road, 33392 Gijón, Spain",33392,Gijón,,,,,,Riera,unnamed road,
634433,road,"Camín de La Barquera, 33204 Gijón, Spain",33204,Gijón,Distrito Rural,Castiello Bernueces,,,,,Camín de La Barquera,
635722,road,"Carretera de Villaverde y Careñes, Villaviciosa, Spain",,,,,,Villaviciosa,,Atilán,Carretera de Villaverde y Careñes,VV-3
635907,road,"Calle Candás, 33207 Gijón, Spain",33207,Gijón,Distrito Centro,,Laviada,,,,Calle Candás,
669327,building,"Calle Mariscal Solís, 14, 33012 Oviedo, Spain",33012,Oviedo,,,El Vallobín,,,,Calle Mariscal Solís,
670181,road,"unnamed road, 33960 Samartín del Rei Aurelio, Spain",33960,,,,,Samartín del Rei Aurelio,,El Nietu,unnamed road,
671829,road,"Ramal a la playa de Moniello, 33440 Gozón, Spain",33440,Gozón,,Urb. La Corona,,Luanco / Lluanco,,Moniello,Ramal a la playa de Moniello,
674137,road,"Avenida de la Libertad, 33980 Laviana, Spain",33980,Laviana,,Solavega,,Pola de Laviana,,,Avenida de la Libertad,AS-387
678001,road,"Caleya de Carcedo, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,Santurio,,,,Carceo (Santurio),Caleya de Carcedo,
678002,road,"Travesía de Jesús Evaristo Casariego, 33870 Tineo, Spain",33870,,,,,Tineo,,,Travesía de Jesús Evaristo Casariego,
679041,road,"Carretera de Siones, 33174 Oviedo, Spain",33174,Oviedo,,,,,Oviedo,Figarines,Carretera de Siones,OV-1
679056,building,"Calle Vázquez de Mella, 73, 33012 Oviedo, Spain",33012,Oviedo,,,El Vallobín,,,,Calle Vázquez de Mella,
679456,road,"unnamed road, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Castañeras,unnamed road,
681037,road,"Camín de Santolaya Valdornón, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,,,,,Santolaya,Camín de Santolaya Valdornón,
681067,road,"Camín de Santolaya Valdornón, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,,,,,Santolaya,Camín de Santolaya Valdornón,
681351,building,"Calle Badajoz, 1, 33210 Gijón, Spain",33210,Gijón,Distrito Sur,,Pumarín,,,,Calle Badajoz,
685892,commerce,"Cafeteria Santa Olaya, Camino del Lucero, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,Santa Olaya,,,,Camino del Lucero,
687411,road,"unnamed road, 33013 Oviedo, Spain",33013,Oviedo,,,La Ería,,,,unnamed road,
687695,road,"unnamed road, 33350 Gijón, Spain",33350,Gijón,,,Vega,,Gijón,,unnamed road,
697701,road,"unnamed road, 33317 Villaviciosa, Spain",33317,,,,,Villaviciosa,,Seloriu,unnamed road,
700754,road,"unnamed road, 33691 Gijón, Spain",33691,Gijón,Distrito Oeste,,,,,Veriña de Riba,unnamed road,
700979,road,"unnamed road, 33317 Villaviciosa, Spain",33317,,,,,Villaviciosa,,Castiello de Selorio,unnamed road,
700985,road,"unnamed road, 33350 Siero, Spain",33350,Siero,,,,,,Grandarrasa,unnamed road,
701216,road,"unnamed road, 33518 Sariego, Spain",33518,Sariego,,,,,Sariego,Canal,unnamed road,
701217,road,"unnamed road, 33518 Sariego, Spain",33518,Sariego,,,,,Sariego,Canal,unnamed road,
702032,building,"Calle Enrique Jardón Celaya, 8, 33900 Llangréu / Langreo, Spain",33900,,,,Sama,Llangréu / Langreo,,,Calle Enrique Jardón Celaya,
702620,road,"Carretera de San Miguel, 33294 Gijón, Spain",33294,Gijón,Distrito Rural,,,,,La Olla,Carretera de San Miguel,
703862,road,"Carretera Irún - La Coruña, 33547 Cangas de Onís, Spain",33547,Cangas de Onís,,,,,,La Granda,Carretera Irún - La Coruña,N-634
705840,road,"Camín del Cantu Mareo, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,,,,,Robleo,Camín del Cantu Mareo,
705996,road,"Camín de Robleo, 33394 Gijón, Spain",33394,Gijón,Distrito Rural,,,,,Robleo,Camín de Robleo,
708488,outdoors/recreation,"Centro de Interpretación de la Emigración e Instrucción Pública, Carretera Navia - Alto del Acebo, 33728 Boal, Spain",33728,Boal,,,,,Boal,San Luís,Carretera Navia - Alto del Acebo,
708772,road,"unnamed road, 33527 Bimenes, Spain",33527,Bimenes,,,,,Bimenes,La Fontanina,unnamed road,
721332,road,"Plaza de la Iglesia, 33510 Siero, Spain",33510,Siero,,,,,,Urbanización Verdesur - Les Granxes,Plaza de la Iglesia,
721698,road,"Camín de la Raposa, 33423 Gijón, Spain",33423,Gijón,,,,,,Casa la Paxarera,Camín de la Raposa,
728904,road,"unnamed road, 33010 Oviedo, Spain",33010,Oviedo,,,La Monxina,,,,unnamed road,
729335,building,"Calle Extremadura, 13, 33210 Gijón, Spain",33210,Gijón,Distrito Sur,,Pumarín,,,,Calle Extremadura,
731594,road,"Carretera de San Esteban de Les Cruces a Frieres, 33195 Oviedo, Spain",33195,Oviedo,,,,,Oviedo,L'Argomal,Carretera de San Esteban de Les Cruces a Frieres,AS-354
737616,road,"unnamed road, Villaviciosa, Spain",,,,,,Villaviciosa,Villaviciosa,Torretejera,unnamed road,
739040,road,"unnamed road, 33294 Villaviciosa, Spain",33294,,,,,Villaviciosa,Villaviciosa,Medio,unnamed road,
739047,road,"unnamed road, 33294 Villaviciosa, Spain",33294,,,,,Villaviciosa,Villaviciosa,Medio,unnamed road,
740752,road,"Camín del Cotarón, 33204 Gijón, Spain",33204,Gijón,Distrito Rural,Castiello Bernueces,,,,Samiguel,Camín del Cotarón,
741607,building,"Calle Alarcón, 38, 33202 Gijón, Spain",33202,Gijón,Distrito Este,El Bibio,El Coto,,,,Calle Alarcón,
743814,road,"Calle Ramón G. Valle - Travesía de Pravia, 33120 Pravia, Spain",33120,,,,,Pravia,,Praúa,Calle Ramón G. Valle - Travesía de Pravia,PV-4
744480,building,"Calle Usandizaga, 2, 33204 Gijón, Spain",33204,Gijón,Distrito Este,El Bibio,El Coto,,,,Calle Usandizaga,
773761,road,"unnamed road, 33294 Gijón, Spain",33294,Gijón,Distrito Rural,,,,,L'Alto l'Infanzón,unnamed road,
773870,road,"unnamed road, 33294 Gijón, Spain",33294,Gijón,Distrito Rural,,,,,L'Alto l'Infanzón,unnamed road,
774139,road,"unnamed road, 33294 Gijón, Spain",33294,Gijón,Distrito Rural,,,,,L'Alto l'Infanzón,unnamed road,
774142,road,"unnamed road, 33294 Gijón, Spain",33294,Gijón,Distrito Rural,,,,,L'Alto l'Infanzón,unnamed road,
774146,financial,"Unicaja Banco, Calle Feijoo, 54, 33204 Gijón, Spain",33204,Gijón,Distrito Este,El Bibio,El Coto,,,,Calle Feijoo,
774608,road,"Piazza Giuseppe Tortora, 71042 Cerignola FG, Italy",71042,,,,,Cerignola,,,Piazza Giuseppe Tortora,
774611,building,"Calle Ceriñola, 25, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,Santa Olaya,,,,Calle Ceriñola,
776973,building,"Paseo de La Florida, 25, 33012 Oviedo, Spain",33012,Oviedo,,,La Florida,,,,Paseo de La Florida,
777713,building,"Calle Vázquez de Mella, 69, 33012 Oviedo, Spain",33012,Oviedo,,,El Vallobín,,,,Calle Vázquez de Mella,
777912,building,"Avenida de los doctores Fernández Vega, 5, 33012 Oviedo, Spain",33012,Oviedo,,,El Vallobín,,,,Avenida de los doctores Fernández Vega,
778701,building,"Camino del Lucero, 19, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,Santa Olaya,,,,Camino del Lucero,
781256,road,"Calle Eulalia Álvarez, 33208 Gijón, Spain",33208,Gijón,Distrito Llano,,,,,,Calle Eulalia Álvarez,
782684,commerce,"Paco Martínez, Calle Gil de Jaz, 33004 Oviedo, Spain",33004,Oviedo,,,Llamaquique,,,,Calle Gil de Jaz,
784014,road,"Calle Barcas, 33213 Gijón, Spain",33213,Gijón,Distrito Oeste,,El Cerilleru,,,,Calle Barcas,
784020,road,"unnamed road, 33195 Oviedo, Spain",33195,Oviedo,,,,,,Faro,unnamed road,
784770,building,"Calle Leopoldo Alas, 13, 33202 Gijón, Spain",33202,Gijón,Distrito Este,El Bibio,L'Arena,,,,Calle Leopoldo Alas,
784786,road,"Carretera de la Isla, 33203 Gijón, Spain",33203,Gijón,Distrito Rural,,,,,,Carretera de la Isla,
785885,road,"Calle Central, 33213 Gijón, Spain",33213,Gijón,Distrito Oeste,,La Calzada,,,,Calle Central,
786746,road,"Plaza de la Victoria, 33120 Pravia, Spain",33120,,,,,Pravia,,Praúa,Plaza de la Victoria,
786747,road,"Plaza de la Victoria, 33120 Pravia, Spain",33120,,,,,Pravia,,Praúa,Plaza de la Victoria,
786964,transportation,"Aparcamiento C.C. La Calzada, Calle del Paraguay, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,La Calzada,,,,Calle del Paraguay,
790707,road,"unnamed road, 33990 Caso, Spain",33990,Caso,,,,,,Bueres,unnamed road,
791088,road,"calle Berriobide, 31014 Ansoáin/Antsoain, Spain",31014,,,,,Ansoáin/Antsoain,,,calle Berriobide,
791089,road,"calle Berriobide, 31014 Ansoáin/Antsoain, Spain",31014,,,,,Ansoáin/Antsoain,,,calle Berriobide,
791090,road,"calle Berriobide, 31014 Ansoáin/Antsoain, Spain",31014,,,,,Ansoáin/Antsoain,,,calle Berriobide,
791091,road,"calle Berriobide, 31014 Ansoáin/Antsoain, Spain",31014,,,,,Ansoáin/Antsoain,,,calle Berriobide,
791092,road,"unnamed road, 33410 Avilés, Spain",33410,,,,,Avilés,,Santana,unnamed road,
791095,road,"Calle Santa Ana, 33940 Samartín del Rei Aurelio, Spain",33940,,,El Japón,,Samartín del Rei Aurelio,,La Xuliana,Calle Santa Ana,
791100,road,"unnamed road, 33950 Samartín del Rei Aurelio, Spain",33950,,,El Serrallo,,Samartín del Rei Aurelio,Samartín del Rei Aurelio,La Venta,unnamed road,
791102,road,"Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada, 33013 Oviedo, Spain",33013,Oviedo,,,La Ería,,,,Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada,
791104,road,"unnamed road, 33950 Samartín del Rei Aurelio, Spain",33950,,,El Serrallo,,Samartín del Rei Aurelio,Samartín del Rei Aurelio,La Venta,unnamed road,
791106,road,"CO-2, 33589 Cangas de Onís, Spain",33589,Cangas de Onís,,,,,,Següencu,CO-2,CO-2
791107,road,"CO-2, 33589 Cangas de Onís, Spain",33589,Cangas de Onís,,,,,,Següencu,CO-2,CO-2
791108,road,"CO-2, 33589 Cangas de Onís, Spain",33589,Cangas de Onís,,,,,,Següencu,CO-2,CO-2
791109,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791110,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791111,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791112,road,"Carretera de La Secada a Gargantada, 33936 Siero, Spain",33936,Siero,,,,,,El Cotoyu,Carretera de La Secada a Gargantada,
791113,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791114,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791115,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791116,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791117,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791118,road,"Avenida de La Literatura, 33212 Gijón, Spain",33212,Gijón,Distrito Oeste,,El Natahoyo,,,,Avenida de La Literatura,
791119,road,"CO-2, 33589 Cangas de Onís, Spain",33589,Cangas de Onís,,,,,,Següencu,CO-2,CO-2
791120,road,"Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada, 33013 Oviedo, Spain",33013,Oviedo,,,La Ería,,,,Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada,
791121,road,"Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada, 33013 Oviedo, Spain",33013,Oviedo,,,La Ería,,,,Calle Ricardo Vázquez Prada / Cai Ricardo Vázquez Prada,
791123,road,"unnamed road, 33936 Siero, Spain",33936,Siero,,,,,,L'Escobal,unnamed road,
791124,road,"unnamed road, 33740 Tapia de Casariego, Spain",33740,,,,,,Tapia de Casariego,El Viso,unnamed road,
791126,road,"Carretera Llovio - Canero, 33157 Cudillero, Spain",33157,Cudillero,,,,,,Castañeras,Carretera Llovio - Canero,N-632a
791127,building,"Calle Villafría, 15, 33008 Oviedo, Spain",33008,Oviedo,,,Villafría,,,,Calle Villafría,
